"Area","Year","Month","Labor Force","Employed","Unemployed","Area Rate","Massachusetts Rate"
"BARNSTABLE COUNTY","2020","January","108402","101485","6917","6.4","3.5"
"BARNSTABLE COUNTY","2020","February","107945","101342","6603","6.1","3.3"
"BARNSTABLE COUNTY","2020","March","106633","99983","6650","6.2","3.6"
"BARNSTABLE COUNTY","2020","April","98702","76576","22126","22.4","16.7"
"BARNSTABLE COUNTY","2020","May","107242","87171","20071","18.7","15.6"
"BARNSTABLE COUNTY","2020","June","115575","97961","17614","15.2","14.5"
"BARNSTABLE COUNTY","2020","July","120814","106307","14507","12.0","13.0"
"BARNSTABLE COUNTY","2020","August","119721","108468","11253","9.4","10.3"
"BARNSTABLE COUNTY","2020","September","114114","103658","10456","9.2","9.8"
"BARNSTABLE COUNTY","2020","October","111106","102354","8752","7.9","8.1"
"BARNSTABLE COUNTY","2020","November","107492","98714","8778","8.2","7.6"
"BARNSTABLE COUNTY","2020","December","107868","98520","9348","8.7","7.4"
"BARNSTABLE COUNTY","2020","Annual","110468","98545","11923","10.8","9.4"
"BARNSTABLE COUNTY","2019","January","110737","102919","7818","7.1","4.0"
"BARNSTABLE COUNTY","2019","February","109304","101892","7412","6.8","3.6"
"BARNSTABLE COUNTY","2019","March","109052","102559","6493","6.0","3.4"
"BARNSTABLE COUNTY","2019","April","110712","106094","4618","4.2","2.8"
"BARNSTABLE COUNTY","2019","May","115238","111293","3945","3.4","2.9"
"BARNSTABLE COUNTY","2019","June","123800","119890","3910","3.2","3.2"
"BARNSTABLE COUNTY","2019","July","130411","126584","3827","2.9","3.3"
"BARNSTABLE COUNTY","2019","August","128706","125274","3432","2.7","3.0"
"BARNSTABLE COUNTY","2019","September","116996","113756","3240","2.8","2.8"
"BARNSTABLE COUNTY","2019","October","113393","110206","3187","2.8","2.6"
"BARNSTABLE COUNTY","2019","November","109582","105598","3984","3.6","2.5"
"BARNSTABLE COUNTY","2019","December","109650","104986","4664","4.3","2.6"
"BARNSTABLE COUNTY","2019","Annual","115632","110921","4711","4.1","3.1"
"BARNSTABLE COUNTY","2018","January","109380","101369","8011","7.3","4.3"
"BARNSTABLE COUNTY","2018","February","108840","100816","8024","7.4","4.2"
"BARNSTABLE COUNTY","2018","March","109088","102038","7050","6.5","3.8"
"BARNSTABLE COUNTY","2018","April","111171","105981","5190","4.7","3.3"
"BARNSTABLE COUNTY","2018","May","115367","110905","4462","3.9","3.3"
"BARNSTABLE COUNTY","2018","June","124399","119894","4505","3.6","3.7"
"BARNSTABLE COUNTY","2018","July","130921","126758","4163","3.2","3.7"
"BARNSTABLE COUNTY","2018","August","129201","125465","3736","2.9","3.3"
"BARNSTABLE COUNTY","2018","September","118457","114780","3677","3.1","3.2"
